client_id,nom_complet,type_compte,solde,plafond,decouvert_autorise,montant_verse_mensuel,montant_preleve_mensuel,nombre_transactions,date_ouverture,statut_client,note_rentabilite,segment,score_risque
C0043,Brian Anderson,Courant,2285379.57,910110.61,Oui,610936.19,6924542.89,80,2016-08-16,Actif,4,Inactif,0.46
C0044,Miss Ashley Mathews,Épargne,4060928.88,6937391.23,Non,9542807.72,4869088.34,61,2020-01-14,Inactif,31,VIP,0.07
C0045,Tasha Nunez,Crédit,-1573967.66,8482343.41,Non,3112383.54,6540266.59,4,2019-08-23,Actif,56,Standard,0.16
C0046,Andre Kent,Épargne,5148718.19,14549664.82,Non,5570415.3,773466.62,97,2021-07-02,Actif,37,Standard,0.19
C0047,Alexander Hull,Courant,566395.69,1763137.12,Oui,7700731.53,576576.02,68,2015-11-22,Risqué,52,Standard,0.71
C0048,Zachary Weber,Courant,1897526.62,1190178.74,Non,5868422.75,3232388.89,15,2016-11-06,Actif,3,Standard,0.18
C0049,Nicole Montes,Crédit,-1469742.38,2593094.36,Non,932590.21,1009055.18,11,2020-03-26,Actif,33,VIP,0.2
C0050,Stephen Lewis,Crédit,-1726390.26,7190062.45,Non,5140987.28,1297972.58,47,2018-01-08,Actif,25,Inactif,0.38
C0051,David Smith,Crédit,-1964803.06,7839598.68,Non,5336094.25,5778102.69,25,2018-02-11,Actif,55,VIP,0.23
C0052,Amber Jensen,Courant,1581278.07,1800822.47,Non,3573759.37,3207452.47,63,2018-09-07,Actif,100,VIP,0.42
C0053,Diane Conley DDS,Courant,43061.34,1210954.91,Non,3583287.82,5208141.58,17,2023-09-30,Actif,85,Standard,0.17
C0054,Sarah Tran,Courant,571593.59,1044623.44,Oui,6476876.55,4587687.52,55,2021-08-29,Actif,69,Standard,0.23
C0055,Melissa Bailey,Épargne,3854269.33,9276427.53,Non,1775067.27,7179285.13,2,2016-04-22,Actif,39,Standard,0.19
C0056,Tanya Adams,Épargne,7723615.84,5079500.1,Non,9751918.27,3951452.8,50,2018-12-05,Inactif,65,Standard,0.05
C0057,Edgar Henderson,Crédit,-1236740.84,5568493.41,Non,2461976.84,962952.76,89,2015-07-01,Inactif,37,Standard,0.02
C0058,Joseph Long,Crédit,-388994.39,4029438.5,Non,1387426.04,553831.02,43,2020-12-07,Actif,39,Inactif,0.53
C0059,Rachel Barnes,Crédit,-471644.5,4139814.4,Non,9298814.99,6653424.29,49,2021-11-22,Actif,74,Inactif,0.15
C0060,Stephanie Hurst,Courant,613187.32,1762743.17,Non,1440735.15,6372375.13,13,2020-09-27,Inactif,34,VIP,0.25
C0061,Gabrielle Flores,Courant,475756.02,1724899.16,Oui,4419392.34,3046708.21,50,2020-11-30,Actif,96,Standard,0.37
C0062,Brittany Craig,Courant,537079.37,1315329.29,Non,9069397.5,5012692.07,50,2017-09-02,Actif,66,Standard,0.17
C0063,Carol Kirby,Épargne,7897766.02,16828958.17,Non,1559165.05,2528190.44,26,2019-08-11,Inactif,67,Standard,0.31
C0064,Kristen Mayo,Épargne,7487416.05,6659476.05,Non,8472200.3,1063534.87,55,2020-12-02,Actif,7,VIP,0.49
C0065,Nicole Dunlap,Courant,1296121.88,877698.59,Oui,3489675.14,1493701.85,73,2020-01-08,Actif,5,Standard,0.52
C0066,Tracy Miles,Crédit,-4643571.58,1162991.65,Non,8727632.89,7460340.35,99,2015-06-24,Risqué,4,Inactif,0.13
C0067,Brittney Lee,Crédit,-3593186.63,9409303.13,Non,9259406.7,3634173.0,45,2015-06-01,Actif,89,Inactif,0.08
C0068,Eric Tyler,Épargne,6571858.0,5821424.58,Non,3385212.55,6432684.92,25,2017-07-17,Actif,62,Standard,0.29
C0069,Leslie Alvarado,Courant,1366025.73,748269.98,Non,387097.64,2526211.71,28,2017-05-02,Actif,21,Standard,0.06
C0070,William White,Épargne,5042635.67,13359580.53,Non,8613288.58,4303804.27,48,2023-01-06,Actif,95,VIP,0.12
C0071,Michelle Perry,Crédit,-4569926.84,1591377.75,Non,7766499.79,3653646.24,65,2018-11-15,Actif,93,Standard,0.1
C0072,William Dorsey,Épargne,4235536.19,10599639.74,Non,2743909.5,5169796.37,96,2016-02-22,Actif,91,Inactif,0.16
C0073,Steve Brown,Courant,830685.6,1392573.47,Oui,3425748.9,4577075.97,50,2021-10-04,Actif,7,VIP,0.06
C0074,Tracie Thompson,Courant,1333115.97,1095775.29,Non,6697447.11,1679625.15,94,2024-04-04,Actif,81,VIP,0.03
C0075,Christopher West,Crédit,-758498.77,4417231.67,Non,5923434.68,2181105.94,4,2019-05-03,Actif,93,Standard,0.17
C0076,Kelly Underwood,Épargne,5772419.7,19780509.68,Non,4737101.25,1497751.75,80,2017-11-07,Actif,39,Standard,0.11
C0077,Martin Roman,Crédit,-3103025.27,8403254.88,Non,5320133.7,6529682.71,40,2022-06-21,Actif,16,Standard,0.51
C0078,Ashley Rivera,Crédit,-2314203.73,3373154.22,Non,2701659.01,5870867.4,97,2024-11-04,Actif,52,VIP,0.18
C0079,Reginald Hart,Épargne,3955960.74,14047281.64,Non,2491223.64,3144900.13,39,2023-09-20,Actif,35,Standard,0.4
C0080,John Jackson,Crédit,-4632382.06,9431467.65,Non,7339092.37,1758776.01,35,2024-11-17,Actif,82,Standard,0.33
C0081,Michael Jackson,Épargne,3943481.05,6127066.73,Non,7295478.12,3989155.96,42,2025-04-05,Actif,24,Standard,0.24
C0082,Nathan Duarte,Épargne,7917663.35,13853460.0,Non,3641690.27,778077.48,48,2015-11-05,Actif,73,Standard,0.14
C0083,Melinda Young,Courant,2341439.64,1586154.99,Non,6390454.22,7845585.56,81,2016-04-29,Actif,14,Standard,0.4
C0084,Patricia James,Courant,938821.79,1999030.25,Non,5580275.49,3812020.44,6,2023-10-14,Actif,6,Standard,0.2
C0085,Bryan Chambers,Courant,1925940.57,555511.45,Non,5982885.29,1878570.26,59,2024-10-29,Actif,2,Standard,0.21
C0086,Frank Drake,Courant,961981.66,1309236.94,Oui,7917695.49,2584082.4,81,2024-02-27,Actif,41,Inactif,0.03
C0087,Angela Archer,Courant,623602.11,605044.56,Non,144380.06,468836.5,92,2017-08-01,Actif,56,Standard,0.31
C0088,Michael Cardenas,Épargne,10213188.29,5050195.43,Non,4699742.13,2411172.87,67,2017-06-18,Inactif,36,VIP,0.29
C0089,Gregory Hensley,Crédit,-2234214.73,7116825.54,Non,2221626.18,7602191.41,60,2023-11-28,Actif,69,Inactif,0.22
C0090,Christopher Herrera,Courant,683480.52,1102370.35,Oui,8386366.07,1883025.11,73,2015-06-05,Actif,56,Standard,0.34
C0091,Rodney Wilson,Crédit,-3189016.53,9721923.67,Non,8843669.56,7425630.65,60,2020-10-17,Actif,34,Standard,0.12
C0092,Brianna Davidson,Épargne,5608769.06,13894099.02,Non,5821857.77,777320.36,55,2017-01-16,Actif,91,Standard,0.06
C0093,Cynthia White,Crédit,-1799287.05,3532518.65,Non,2563858.48,90403.01,4,2017-05-31,Actif,17,VIP,0.5
C0094,Ethan Bass,Épargne,5442426.49,13886116.77,Non,8255575.61,2815083.2,97,2020-08-30,Actif,76,Standard,0.11
C0095,Maria Hernandez,Crédit,-3108703.58,8805647.81,Non,7098211.62,6704255.96,88,2017-10-12,Risqué,99,Standard,0.14
C0096,George Brooks,Courant,355611.96,1615262.38,Non,1649560.97,6552837.84,77,2022-07-05,Inactif,11,VIP,0.14
C0097,Nicole Riddle,Courant,855723.86,889705.37,Non,6358356.75,4342883.77,34,2022-01-26,Actif,82,Standard,0.34
C0098,Michelle Gay,Crédit,-2175545.83,1610533.53,Non,3044587.49,5679968.1,21,2015-06-02,Inactif,64,VIP,0.39
C0099,Chad Garcia,Épargne,10732413.77,13915937.89,Non,3866941.99,571727.85,32,2020-06-07,Actif,78,Inactif,0.38
C0100,Katrina Farmer,Crédit,-2088952.27,8433286.89,Non,3018825.59,6727579.96,46,2021-03-24,Actif,21,VIP,0.39
C0101,Valerie Manning,Épargne,5729922.99,19467807.08,Non,7612936.08,3566275.16,0,2015-07-08,Actif,37,Standard,0.06
C0102,Jennifer Thompson,Courant,1211270.42,1656382.77,Oui,8455593.12,6100140.73,2,2016-03-28,Inactif,43,VIP,0.23
C0103,James Brady,Courant,1389685.48,675962.28,Oui,1295598.63,5500244.03,99,2020-02-11,Actif,47,Standard,0.35
C0104,Rhonda James,Crédit,-1553816.57,1104584.86,Non,770846.53,3170323.77,94,2017-08-28,Inactif,10,Standard,0.07
C0105,Lisa Rosario,Crédit,-1952288.64,9879963.34,Non,1467830.65,4016160.82,85,2022-10-30,Actif,32,Standard,0.14
C0106,Sarah Alvarez,Épargne,4462964.1,6990736.31,Non,5697031.44,5531246.5,14,2017-02-03,Actif,43,VIP,0.08
C0107,Lisa Hayes,Crédit,-2357925.73,7426782.39,Non,8027194.43,2748629.03,6,2019-02-27,Actif,79,Standard,0.15
C0108,Ryan Hunter,Courant,356574.06,590528.13,Non,2508677.18,1318380.21,44,2016-12-11,Actif,18,Inactif,0.25
C0109,Laura Johnson,Courant,111560.0,1247293.57,Non,5575867.33,5767654.14,21,2017-09-05,Actif,55,Inactif,0.09
C0110,Sierra Petty,Épargne,8273138.31,15907536.05,Non,7439929.89,3432672.01,3,2023-11-25,Inactif,19,Standard,0.11
C0111,Jennifer Mitchell,Crédit,-2412218.4,4559636.53,Non,6081577.7,4801902.34,35,2020-10-07,Actif,41,Inactif,0.25
C0112,Christopher Boyer,Crédit,-1510460.56,7984001.86,Non,4082836.32,4834750.3,41,2020-06-02,Actif,77,Standard,0.37
C0113,Michelle Evans,Crédit,-1264048.08,4645187.19,Non,5949538.08,4656348.45,83,2024-01-20,Actif,69,Standard,0.28
C0114,Alyssa Taylor,Courant,2860118.58,1094989.66,Oui,2408427.18,1915658.6,9,2020-02-11,Actif,13,Standard,0.6
C0115,Kim Taylor,Courant,1308968.5,1381826.56,Non,9488404.38,2057595.87,83,2020-02-16,Actif,36,Standard,0.47
C0116,Whitney Green,Crédit,-2173908.04,5859152.56,Non,390168.27,7894209.19,72,2018-11-18,Actif,19,VIP,0.5
C0117,David Jenkins,Courant,155913.75,654963.44,Non,5867473.47,5521252.53,19,2022-08-11,Risqué,87,Standard,0.24
C0118,Carlos Medina,Épargne,6283612.03,6886122.68,Non,1370510.81,1191161.78,49,2022-01-04,Actif,7,Inactif,0.05
C0119,Traci Hunter,Courant,3096837.62,765724.68,Oui,6941628.22,6713016.55,89,2015-05-24,Actif,29,Standard,0.38
C0120,Tina Johnson,Épargne,5592697.97,15147700.79,Non,2195967.77,5288139.49,52,2017-04-10,Actif,89,Standard,0.54
C0121,Devin Jimenez,Épargne,7793028.39,19900054.06,Non,7536656.24,769329.48,30,2018-10-13,Inactif,67,Standard,0.42
C0122,Ashley Kelly,Courant,416531.89,945303.91,Oui,6508292.86,2660630.76,64,2016-04-05,Actif,70,Standard,0.22
C0123,Elizabeth Randall,Crédit,-3111987.71,4999775.07,Non,195937.22,4717140.58,71,2023-07-26,Actif,73,Standard,0.47
C0124,David Mills,Courant,1005165.17,1091547.99,Oui,5516671.67,5987661.94,42,2016-12-17,Actif,22,Standard,0.25
C0125,Dale Davis,Épargne,807445.3,7494974.12,Non,6192649.99,4208523.56,26,2022-06-21,Risqué,27,Standard,0.15
C0126,Colleen Odonnell,Courant,1727699.83,1120323.65,Non,1262766.63,1490137.33,94,2017-02-24,Inactif,38,Standard,0.16
C0127,Jillian Boyd,Crédit,-1980362.2,8253932.95,Non,5524754.09,395129.64,46,2019-09-25,Risqué,21,Inactif,0.43
C0128,Michael Lopez,Courant,4518.9,1116542.7,Oui,8406619.96,7205183.83,79,2020-03-24,Actif,90,Standard,0.45
C0129,Shawn Lambert,Épargne,5718432.39,11776515.18,Non,5886754.21,1385712.95,98,2018-06-25,Inactif,32,Standard,0.15
C0130,Suzanne Brown,Crédit,-1852998.0,5920276.71,Non,2357873.61,3157702.67,56,2020-12-03,Actif,1,Standard,0.41
C0131,Gloria Thomas PhD,Courant,2051130.6,1404829.12,Oui,3405409.97,7248922.1,35,2016-04-04,Actif,96,Standard,0.33
C0132,Dr. Samantha Myers DVM,Crédit,-777762.2,4981689.43,Non,8327037.98,5373340.8,43,2023-08-17,Actif,20,Standard,0.42
C0133,Danielle Navarro,Épargne,501237.63,19932207.36,Non,4491205.89,2701877.92,21,2016-02-10,Actif,35,Inactif,0.12
C0134,Christopher Wright,Courant,1427333.54,1134033.67,Non,8226974.12,59831.6,15,2016-07-30,Actif,83,Standard,0.15
C0135,Michael Adams,Crédit,-2865316.9,3192910.44,Non,6732006.51,788786.7,21,2016-12-21,Actif,31,VIP,0.31
C0136,Raven Rice,Crédit,-2956702.32,3728155.2,Non,2667970.07,2913084.44,84,2024-11-05,Actif,72,Standard,0.14
C0137,Thomas Warren,Courant,1338813.16,1361881.07,Non,5687424.85,3158789.97,11,2021-05-02,Risqué,41,Standard,0.16
C0138,Elizabeth Bennett,Épargne,11005837.9,7119170.74,Non,2159225.78,6558943.28,14,2015-05-31,Actif,65,VIP,0.36
C0139,Mr. John Jackson,Crédit,-2912374.61,2252782.22,Non,8987703.19,6643192.62,51,2019-10-06,Actif,40,Inactif,0.07
C0140,Stacey Lucas,Crédit,-948305.11,3092962.23,Non,845655.67,6224952.86,95,2018-07-02,Actif,30,Standard,0.14
C0141,John Turner,Épargne,9592252.5,7280372.8,Non,660428.79,6257054.61,9,2022-06-21,Actif,10,Standard,0.52
C0142,Renee Olson,Épargne,222945.57,6119447.22,Non,7837825.61,2159829.9,6,2024-01-05,Actif,96,Standard,0.05
C0143,Tracy Hernandez,Crédit,-956027.16,8979437.94,Non,4525357.26,1597248.97,6,2019-07-30,Actif,85,Inactif,0.29
C0144,Karen Burke,Épargne,2773126.88,8897198.13,Non,7614883.74,1140022.16,38,2020-03-09,Actif,12,VIP,0.13
C0145,Laura Gray,Courant,631671.95,987013.89,Oui,7386702.92,3834344.13,92,2018-06-19,Actif,37,Standard,0.22
C0146,Gregory Herring,Courant,999983.39,614625.29,Oui,2829708.75,7446035.13,59,2024-06-04,Inactif,27,Standard,0.35
C0147,Breanna Lucas,Crédit,-2032004.15,2351521.01,Non,7387466.0,4122164.27,7,2024-08-09,Actif,86,Standard,0.27
C0148,Gregory Harmon,Crédit,-1028385.96,7971881.78,Non,6630637.58,1522304.76,57,2016-12-31,Actif,93,Inactif,0.32
C0149,Ashley Dunn,Courant,1008822.27,841763.63,Non,9761108.95,5355435.66,66,2016-08-14,Actif,67,Standard,0.36
C0150,Kyle Garcia,Courant,846310.33,1698071.29,Oui,2963579.27,7840764.12,12,2024-03-07,Actif,94,Standard,0.1
C0151,Wayne Vincent,Crédit,-1170962.54,4383936.01,Non,5523414.81,3139789.75,21,2018-08-31,Actif,83,VIP,0.27
C0152,Rachel Nicholson,Courant,1778884.66,1723920.41,Oui,8620631.46,6779788.99,46,2018-05-14,Actif,12,Standard,0.09
C0153,Katie Williamson,Courant,194155.32,1309334.33,Non,7293074.41,908152.53,84,2018-08-31,Inactif,26,Inactif,0.45
C0154,David Alexander,Courant,328178.7,1637277.52,Non,7447066.67,4914927.02,18,2018-04-05,Actif,29,Inactif,0.39
C0155,Aaron Ewing,Épargne,4372930.23,17001064.53,Non,2080154.56,4462925.35,45,2017-04-20,Actif,26,Standard,0.08
C0156,Cheryl Salazar,Crédit,-4625086.34,8559675.82,Non,8335170.67,137701.33,33,2019-04-22,Inactif,19,Standard,0.27
C0157,Bradley Thompson,Épargne,2548443.6,15831064.07,Non,8867648.02,4764702.46,36,2021-04-08,Actif,53,Standard,0.07
C0158,Kristopher Yoder,Courant,2315100.92,639485.96,Non,5902612.56,3873734.47,13,2016-02-22,Inactif,100,Standard,0.35
C0159,Anthony Cunningham,Crédit,-1375210.45,8425444.69,Non,5007644.04,662613.32,21,2024-06-07,Actif,75,Standard,0.38
C0160,Roger Flores,Crédit,-3477530.08,2327072.74,Non,3315517.9,3500453.96,17,2016-10-12,Actif,91,Standard,0.06
C0161,Michael Walker,Crédit,-1773515.9,8558220.57,Non,3869137.87,4596384.56,15,2020-07-04,Actif,60,Inactif,0.1
C0162,Kimberly Wong,Épargne,10026642.18,15465059.41,Non,9299688.38,6271526.42,18,2021-01-13,Actif,45,Standard,0.41
C0163,Gina Scott,Courant,987653.75,1446755.97,Non,545928.18,7236110.98,34,2019-02-28,Actif,56,VIP,0.36
C0164,Brian Stevenson,Épargne,3961746.75,18839345.87,Non,4747001.32,156550.88,23,2022-03-14,Actif,29,VIP,0.2
C0165,Gary Carter,Courant,483100.71,1767184.15,Oui,2717983.25,1293235.35,99,2015-08-30,Actif,83,Standard,0.08
C0166,Brian Thompson,Crédit,-904698.38,1777821.5,Non,2406003.88,5872967.42,74,2015-11-11,Risqué,14,Inactif,0.48
C0167,Crystal Alvarez,Épargne,6225035.49,7174476.09,Non,7265299.49,1569966.08,48,2018-06-20,Actif,88,Inactif,0.32
C0168,Gerald Mccullough,Épargne,9887970.01,15256311.58,Non,5473800.01,7845108.73,60,2024-11-19,Inactif,57,Standard,0.19
C0169,Rebecca Johnson,Épargne,4290073.44,7114394.41,Non,6658669.75,1767919.1,73,2018-11-03,Actif,50,Standard,0.44
C0170,Amber Webb,Épargne,2815991.18,11888598.16,Non,566967.95,6300911.69,63,2021-02-06,Actif,20,VIP,0.53
C0171,Cynthia Higgins,Épargne,3918579.79,11768590.16,Non,9850647.08,6187499.19,62,2023-11-01,Actif,2,Inactif,0.46
C0172,Sandra Mays,Crédit,-1994602.62,8398928.45,Non,3835179.07,6216114.21,50,2019-03-03,Actif,11,Standard,0.48
C0173,Jason Henry,Courant,263213.73,1872635.1,Non,5353637.23,1305740.84,83,2016-11-20,Actif,1,Standard,0.49
C0174,Jacqueline Donovan,Crédit,-2483425.49,2266403.75,Non,2060055.9,1514587.47,31,2025-02-08,Actif,100,Standard,0.15
C0175,Benjamin Sanchez,Courant,1425554.35,1126641.47,Oui,9841897.67,5359963.99,12,2024-08-17,Actif,27,Inactif,0.18
C0176,Kiara Salas,Crédit,-4589563.64,9012322.48,Non,840095.52,5865397.1,60,2019-04-23,Actif,8,Inactif,0.49
C0177,Michael White,Épargne,4503802.95,10366973.98,Non,4967413.85,6634581.56,91,2022-06-05,Actif,20,VIP,0.53
C0178,Stacey Harris,Courant,2769255.96,1609506.95,Oui,1953041.16,4929530.48,22,2019-06-08,Actif,21,Standard,0.29
C0179,Robert Allison,Courant,213086.26,972379.38,Non,87980.48,5469272.39,69,2024-09-11,Inactif,0,Inactif,0.2
C0180,Kayla Flynn,Courant,2015055.2,957966.02,Oui,2165811.54,313855.37,52,2019-05-02,Actif,13,Inactif,0.44
C0181,Nicole Castillo,Épargne,7577771.67,5002825.99,Non,1732356.65,3148587.13,45,2022-05-14,Actif,99,Standard,0.21
C0182,Leslie Williams,Épargne,3868165.38,5270001.33,Non,4243368.21,266041.38,86,2019-12-05,Actif,82,Inactif,0.26
C0183,David Ramirez,Courant,2003855.84,1442357.17,Non,5350125.07,5098958.39,13,2025-01-30,Actif,52,Standard,0.78
C0184,Ryan Meyer,Courant,444479.07,945856.71,Oui,3034195.16,5958385.93,67,2019-03-03,Actif,91,Inactif,0.25
C0185,Alexis Thompson,Crédit,-1895550.78,8151204.51,Non,394969.15,4683314.34,63,2024-12-31,Inactif,84,Standard,0.21
C0186,Rachel Fisher,Courant,2196210.52,640785.93,Oui,9100786.85,5370142.09,80,2015-08-23,Actif,95,Standard,0.01
C0187,Angela White,Crédit,-2511202.6,9032709.61,Non,4461631.14,4876362.15,50,2017-09-09,Actif,28,Standard,0.51
C0188,Andrew Bowen,Courant,196880.65,1956149.31,Non,2663622.64,2208971.68,90,2023-07-26,Inactif,0,Standard,0.43
C0189,Tanya Rogers,Courant,1767877.01,858284.99,Oui,4722935.66,3631199.15,98,2023-05-26,Actif,34,Standard,0.22
C0190,Stacey Freeman,Épargne,12091153.61,5742452.8,Non,8341504.86,6759200.67,96,2022-01-12,Actif,84,Standard,0.32
C0191,Cynthia Vargas,Épargne,3257666.63,17273100.03,Non,5339414.67,7044908.29,54,2016-03-07,Inactif,12,Standard,0.32
C0192,Sherry Coleman,Courant,695341.28,1084808.53,Non,7312110.07,7063955.52,60,2018-02-04,Inactif,11,Standard,0.55
C0193,Jennifer Miller,Courant,1772844.39,560838.11,Oui,8722397.39,2090719.12,67,2023-11-13,Actif,35,Standard,0.22
C0194,Stacy Carpenter,Courant,210875.06,620270.02,Non,3579974.35,7536719.41,62,2019-07-21,Actif,73,Standard,0.25
C0195,Melissa Hayden,Épargne,7859409.9,15859595.83,Non,1249556.24,7224503.79,37,2023-06-17,Inactif,93,VIP,0.52
C0196,Andrew Campbell,Épargne,3063291.71,13657998.3,Non,485203.77,1027876.2,48,2022-04-17,Actif,24,Standard,0.37
C0197,Steven Spencer,Épargne,1419089.5,9594702.48,Non,7900402.34,3599035.16,97,2019-06-09,Actif,66,Inactif,0.65
C0198,Alicia Ray,Épargne,2920439.52,10567586.35,Non,6030687.96,5659407.61,32,2018-04-28,Actif,33,VIP,0.13
C0199,Lori White,Crédit,-3310308.75,4065437.5,Non,763533.29,3306549.71,48,2017-09-18,Actif,63,Standard,0.29
C0200,Jennifer Nichols,Crédit,-1537903.98,5370307.3,Non,323990.36,4068368.19,74,2017-02-23,Actif,25,VIP,0.28
C0201,Mathew Bird,Crédit,-1741203.94,3603202.95,Non,9005827.67,973304.73,41,2016-05-04,Actif,34,Inactif,0.69
C0202,Carolyn Solis,Crédit,-513722.97,5872668.47,Non,1583743.18,4452006.31,33,2022-12-01,Actif,52,Inactif,0.07
C0203,Jacob Mckay,Crédit,-1831856.18,3432229.23,Non,9665852.99,4483785.17,0,2023-09-30,Actif,23,Inactif,0.24
C0204,Laura Johnson,Épargne,6694442.45,16018668.85,Non,3039869.39,2640293.78,23,2017-04-05,Actif,36,Standard,0.28
